Actual Profit ($),Actual Sales (Qty),Actual Cost of Goods Sold  (COGS) ($),Actual Total Expenses ($),Inventory (Qty),Budget Profit ($),Budget Sales (Qty),Budget COGS ($),Date,Market,Province,City,Store#,Market Size,Product Type,Product,Type
9,190,79,102,551,60,230,90,31/1/2019,Atlantic,Nova Scotia,Truro,6520,Small Market,Coffee,Decaf Irish Cream,Decaf
9,82,35,38,196,10,70,30,31/1/2019,North,Nunavut,Iqaluit,314,Small Market,Tea,Darjeeling,Regular
9,190,79,102,551,30,180,70,31/1/2019,Prairie,Saskatchewan,Saskatoon,239,Major Market,Espresso,Caffe Mocha,Regular
10,45,18,17,821,20,40,10,31/1/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Tea,Darjeeling,Regular
10,43,17,16,777,30,50,10,31/1/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Espresso,Decaf Espresso,Decaf
10,45,18,17,821,20,40,10,31/1/2019,Central,Ontario,Toronto ,702,Small Market,Espresso,Caffe Mocha,Regular
10,190,79,101,551,30,180,70,31/1/2019,Central,Quebec,Sherbrooke,580,Small Market,Herbal Tea,Lemon,Decaf
11,45,18,16,821,20,40,10,31/1/2019,Atlantic,New Brunswick,Moncton,505,Small Market,Herbal Tea,Chamomile,Decaf
11,43,17,15,777,20,40,10,31/1/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Tea,Green Tea,Regular
11,45,18,16,821,20,40,10,31/1/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Coffee,Amaretto,Regular
11,43,17,15,777,30,50,10,31/1/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Espresso,Caffe Mocha,Regular
11,43,17,15,777,20,40,10,31/1/2019,Central,Ontario,Toronto ,775,Small Market,Espresso,Caffe Latte,Regular
11,43,17,15,777,20,40,10,31/1/2019,Central,Ontario,Toronto ,775,Small Market,Espresso,Decaf Espresso,Decaf
12,54,23,19,623,20,50,20,31/1/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Coffee,Decaf Irish Cream,Decaf
13,120,54,53,312,30,120,50,31/1/2019,Atlantic,Newfoundland,Paradise,2500,Small Market,Coffee,Amaretto,Regular
13,120,54,53,312,20,110,50,31/1/2019,Atlantic,Nova Scotia,Amherst,6000,Small Market,Espresso,Caffe Mocha,Regular
13,120,54,53,312,20,110,50,31/1/2019,Central,Quebec,Sherbrooke,918,Small Market,Herbal Tea,Chamomile,Decaf
13,120,54,53,312,20,90,40,31/1/2019,Prairie,Saskatchewan,Saskatoon,239,Major Market,Herbal Tea,Lemon,Decaf
16,130,58,56,338,40,150,60,31/1/2019,West,British Columbia,Kelowna,670,Major Market,Espresso,Decaf Espresso,Decaf
16,250,105,129,725,30,220,90,31/1/2019,Central,Ontario,Toronto ,702,Small Market,Herbal Tea,Chamomile,Decaf
16,130,58,56,338,20,120,50,31/1/2019,Central,Ontario,Kitchener,503,Large Market,Espresso,Caffe Latte,Regular
17,130,58,55,338,20,110,40,31/1/2019,Prairie,Alberta,Calgary,303,Major Market,Tea,Darjeeling,Regular
17,250,105,128,725,20,240,100,31/1/2019,West,British Columbia,Bunaby,685,Major Market,Espresso,Caffe Mocha,Regular
17,130,58,55,338,30,100,40,31/1/2019,Atlantic,Newfoundland,St. John's,2001,Major Market,Herbal Tea,Lemon,Decaf
20,93,38,35,241,30,80,30,31/1/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Coffee,Amaretto,Regular
21,93,38,34,241,30,80,30,31/1/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Herbal Tea,Chamomile,Decaf
25,120,48,47,372,30,100,40,31/1/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Herbal Tea,Lemon,Decaf
25,120,48,47,372,40,110,40,31/1/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Coffee,Colombian,Regular
26,120,48,46,372,50,150,60,31/1/2019,Atlantic,New Brunswick,Moncton,505,Small Market,Coffee,Colombian,Regular
28,81,33,20,777,50,70,20,31/1/2019,Atlantic,Newfoundland,Paradise,2500,Small Market,Herbal Tea,Lemon,Decaf
28,80,32,20,456,30,50,20,31/1/2019,Central,Ontario,Ottawa,971,Small Market,Tea,Darjeeling,Regular
28,160,67,65,400,60,200,80,31/1/2019,Central,Ontario,Kitchener,503,Large Market,Coffee,Colombian,Regular
28,80,32,20,456,40,60,20,31/1/2019,Central,Quebec,Sherbrooke,405,Small Market,Espresso,Caffe Mocha,Regular
28,80,32,20,821,50,100,40,31/1/2019,Central,Quebec,Sherbrooke,580,Small Market,Coffee,Decaf Irish Cream,Decaf
28,80,32,20,821,40,80,30,31/1/2019,Prairie,Saskatchewan,Saskatoon,954,Major Market,Tea,Darjeeling,Regular
28,81,33,20,777,40,80,30,31/1/2019,Prairie,Saskatchewan,Saskatoon,754,Major Market,Tea,Green Tea,Regular
28,81,33,20,777,50,100,40,31/1/2019,North,Yukon,Whitehorse,985,Small Market,Coffee,Decaf Irish Cream,Decaf
29,80,32,19,456,50,70,20,31/1/2019,West,British Columbia,Kelowna,670,Major Market,Herbal Tea,Chamomile,Decaf
29,80,32,19,821,50,70,20,31/1/2019,West,British Columbia,Kelowna,670,Major Market,Herbal Tea,Lemon,Decaf
29,80,32,19,821,40,80,30,31/1/2019,Atlantic,Newfoundland,St. John's,2001,Major Market,Tea,Darjeeling,Regular
29,80,32,19,456,40,80,30,31/1/2019,Atlantic,Newfoundland,St. John's,2001,Major Market,Tea,Green Tea,Regular
29,100,44,27,623,30,80,30,31/1/2019,Central,Ontario,Kitchener,503,Large Market,Herbal Tea,Lemon,Decaf
29,100,44,27,623,50,120,50,31/1/2019,Central,Quebec,Sherbrooke,580,Small Market,Coffee,Colombian,Regular
30,100,44,26,623,30,80,30,31/1/2019,Prairie,Alberta,Calgary,303,Major Market,Tea,Green Tea,Regular
30,130,55,45,312,40,120,50,31/1/2019,Prairie,Manitoba,Winnipeg,1001,Small Market,Espresso,Decaf Espresso,Decaf
30,130,55,45,312,70,160,60,31/1/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Coffee,Colombian,Regular
30,85,34,21,777,50,70,20,31/1/2019,Atlantic,Nova Scotia,Truro,6520,Small Market,Herbal Tea,Lemon,Decaf
30,85,34,21,777,50,100,40,31/1/2019,North,Yukon,Whitehorse,225,Small Market,Coffee,Colombian,Regular
33,140,60,47,336,40,120,50,31/1/2019,Prairie,Alberta,Calgary,303,Major Market,Herbal Tea,Mint,Decaf
33,140,60,47,336,50,130,50,31/1/2019,Prairie,Alberta,Edmonton,404,Major Market,Herbal Tea,Chamomile,Decaf
33,140,60,47,336,50,130,50,31/1/2019,Central,Ontario,Kitchener,503,Large Market,Espresso,Caffe Mocha,Regular
33,90,36,21,777,40,70,30,31/1/2019,Central,Ontario,Ottawa,971,Small Market,Herbal Tea,Chamomile,Decaf
34,140,60,46,336,50,140,60,31/1/2019,West,British Columbia,Kelowna,670,Major Market,Coffee,Amaretto,Regular
34,112,49,29,623,40,100,40,31/1/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Espresso,Caffe Mocha,Regular
34,110,48,28,623,50,120,50,31/1/2019,Atlantic,Newfoundland,Paradise,2500,Small Market,Espresso,Decaf Espresso,Decaf
34,110,48,28,623,30,80,30,31/1/2019,Prairie,Saskatchewan,Saskatoon,863,Major Market,Herbal Tea,Chamomile,Decaf
35,94,38,21,777,40,100,40,31/1/2019,Prairie,Manitoba,Winnipeg,1001,Small Market,Tea,Green Tea,Regular
35,110,48,27,623,40,100,40,31/1/2019,Atlantic,Nova Scotia,Amherst,6000,Small Market,Espresso,Caffe Latte,Regular
35,112,49,28,623,40,100,40,31/1/2019,North,Yukon,Whitehorse,337,Small Market,Herbal Tea,Chamomile,Decaf
36,140,64,40,965,40,120,50,31/1/2019,Prairie,Alberta,Calgary,303,Major Market,Tea,Earl Grey,Regular
38,150,69,43,965,50,170,80,31/1/2019,Atlantic,Newfoundland,Paradise,2500,Small Market,Espresso,Caffe Mocha,Regular
38,130,53,39,338,70,160,60,31/1/2019,Atlantic,Nova Scotia,Truro,6520,Small Market,Coffee,Colombian,Regular
39,190,85,66,494,70,230,100,31/1/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Coffee,Decaf Irish Cream,Decaf
39,150,69,42,965,60,140,60,31/1/2019,Atlantic,Nova Scotia,Truro,6520,Small Market,Espresso,Decaf Espresso,Decaf
39,190,85,66,494,40,190,90,31/1/2019,North,Nunavut,Rankin Inlet,636,Small Market,Coffee,Colombian,Regular
39,150,69,42,965,40,110,50,31/1/2019,Prairie,Saskatchewan,Saskatoon,772,Major Market,Herbal Tea,Mint,Decaf
40,190,85,65,494,40,140,60,31/1/2019,Prairie,Manitoba,Winnipeg,1001,Small Market,Herbal Tea,Lemon,Decaf
40,190,85,65,494,40,180,80,31/1/2019,North,Yukon,Whitehorse,504,Small Market,Herbal Tea,Lemon,Decaf
42,140,57,41,364,50,130,50,31/1/2019,Prairie,Alberta,Edmonton,404,Major Market,Herbal Tea,Lemon,Decaf
42,140,57,41,364,50,140,60,31/1/2019,West,British Columbia,Kelowna,670,Major Market,Coffee,Colombian,Regular
42,140,57,41,364,70,170,70,31/1/2019,Central,Ontario,Ottawa,971,Small Market,Coffee,Decaf Irish Cream,Decaf
44,114,46,24,777,40,100,40,31/1/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Espresso,Caffe Latte,Regular
45,114,46,23,777,60,130,50,31/1/2019,North,Nunavut,Rankin Inlet,660,Small Market,Espresso,Decaf Espresso,Decaf
47,123,50,26,821,60,130,50,31/1/2019,Prairie,Manitoba,Winnipeg,1001,Small Market,Tea,Darjeeling,Regular
47,170,78,45,965,50,130,50,31/1/2019,Prairie,Manitoba,Winnipeg,1001,Small Market,Herbal Tea,Mint,Decaf
47,123,50,26,821,50,110,40,31/1/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Espresso,Decaf Espresso,Decaf
47,170,78,45,965,80,210,90,31/1/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Coffee,Amaretto,Regular
47,150,61,42,390,50,130,50,31/1/2019,Atlantic,Newfoundland,Paradise,2500,Small Market,Tea,Darjeeling,Regular
47,170,78,45,965,50,170,80,31/1/2019,North,Nunavut,Pangnirtung,573,Small Market,Coffee,Decaf Irish Cream,Decaf
48,150,61,41,390,40,100,40,31/1/2019,Atlantic,Nova Scotia,Truro,6520,Small Market,Tea,Earl Grey,Regular
48,123,50,25,821,70,140,50,31/1/2019,North,Nunavut,Pangnirtung,573,Small Market,Espresso,Caffe Mocha,Regular
48,150,61,41,390,50,120,50,31/1/2019,North,Yukon,Whitehorse,337,Small Market,Espresso,Decaf Espresso,Decaf
50,180,77,53,432,60,170,70,31/1/2019,Prairie,Saskatchewan,Saskatoon,754,Major Market,Espresso,Decaf Espresso,Decaf
51,180,77,52,432,60,180,80,31/1/2019,Atlantic,Newfoundland,Paradise,2500,Small Market,Coffee,Decaf Irish Cream,Decaf
53,180,72,55,558,80,210,80,31/1/2019,Prairie,Alberta,Calgary,303,Major Market,Espresso,Decaf Espresso,Decaf
53,180,72,55,558,50,150,60,31/1/2019,Prairie,Alberta,Edmonton,404,Major Market,Espresso,Caffe Latte,Regular
53,134,54,27,456,50,110,40,31/1/2019,Central,Quebec,Montreal,217,Major Market,Tea,Darjeeling,Regular
54,134,54,26,456,70,150,60,31/1/2019,Prairie,Alberta,Calgary,303,Major Market,Espresso,Caffe Mocha,Regular
54,134,54,26,456,60,110,40,31/1/2019,Prairie,Alberta,Edmonton,404,Major Market,Espresso,Decaf Espresso,Decaf
54,134,54,26,456,60,90,30,31/1/2019,West,British Columbia,Bunaby,685,Major Market,Tea,Earl Grey,Regular
54,180,72,54,558,50,120,40,31/1/2019,West,British Columbia,Bunaby,685,Major Market,Tea,Green Tea,Regular
54,134,54,26,456,70,140,50,31/1/2019,Atlantic,PEI,Charlottetown,347,Major Market,Tea,Green Tea,Regular
54,180,72,54,558,40,150,60,31/1/2019,Central,Quebec,Montreal,708,Major Market,Tea,Earl Grey,Regular
66,200,84,50,500,70,170,70,31/1/2019,Central,Quebec,Sherbrooke,405,Small Market,Espresso,Caffe Latte,Regular
67,190,83,40,623,60,160,70,31/1/2019,West,British Columbia,Bunaby,685,Major Market,Herbal Tea,Mint,Decaf
67,200,84,49,500,60,170,70,31/1/2019,West,British Columbia,Kelowna,670,Major Market,Tea,Earl Grey,Regular
67,200,84,49,500,50,130,50,31/1/2019,Central,Ontario,Ottawa,541,Small Market,Tea,Green Tea,Regular
67,210,84,59,651,70,180,70,31/1/2019,Central,Quebec,Sherbrooke,405,Small Market,Espresso,Decaf Espresso,Decaf
67,200,84,49,500,70,190,80,31/1/2019,Prairie,Saskatchewan,Saskatoon,754,Major Market,Coffee,Decaf Irish Cream,Decaf
68,190,83,39,623,80,190,80,31/1/2019,Prairie,Alberta,Calgary,303,Major Market,Coffee,Colombian,Regular
68,190,83,39,623,100,230,100,31/1/2019,Prairie,Alberta,Edmonton,404,Major Market,Coffee,Decaf Irish Cream,Decaf
68,210,84,58,651,60,180,70,31/1/2019,West,British Columbia,Kelowna,670,Major Market,Tea,Darjeeling,Regular
68,210,84,58,651,60,140,50,31/1/2019,Central,Ontario,Kitchener,503,Large Market,Tea,Earl Grey,Regular
68,190,83,39,623,60,160,70,31/1/2019,Central,Quebec,Montreal,630,Major Market,Herbal Tea,Lemon,Decaf
68,210,84,58,651,70,190,80,31/1/2019,Prairie,Saskatchewan,Saskatoon,954,Major Market,Coffee,Colombian,Regular
70,180,67,43,400,80,150,50,31/1/2019,Atlantic,Newfoundland,Paradise,2500,Small Market,Herbal Tea,Chamomile,Decaf
70,180,67,43,400,50,120,40,31/1/2019,Atlantic,Nova Scotia,Truro,6520,Small Market,Tea,Darjeeling,Regular
70,180,67,43,400,80,150,50,31/1/2019,North,Yukon,Whitehorse,337,Small Market,Espresso,Caffe Mocha,Regular
86,234,95,53,608,90,200,80,31/1/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Herbal Tea,Lemon,Decaf
86,234,95,53,608,90,200,80,31/1/2019,Central,Ontario,Toronto ,702,Small Market,Herbal Tea,Mint,Decaf
87,234,95,52,608,100,240,100,31/1/2019,Central,Quebec,Montreal,309,Major Market,Coffee,Decaf Irish Cream,Decaf
94,219,89,36,777,100,220,90,31/1/2019,Prairie,Alberta,Calgary,303,Major Market,Coffee,Amaretto,Regular
94,219,89,36,777,80,140,50,31/1/2019,West,British Columbia,Bunaby,685,Major Market,Tea,Darjeeling,Regular
94,219,89,36,777,110,230,90,31/1/2019,Atlantic,PEI,Charlottetown,646,Major Market,Tea,Earl Grey,Regular
95,219,89,35,777,90,180,70,31/1/2019,Prairie,Alberta,Edmonton,404,Major Market,Espresso,Caffe Mocha,Regular
95,219,89,35,777,100,190,70,31/1/2019,Central,Quebec,Montreal,312,Major Market,Herbal Tea,Chamomile,Decaf
99,341,170,72,1091,110,300,140,31/1/2019,Prairie,Alberta,Calgary,303,Major Market,Herbal Tea,Chamomile,Decaf
99,341,170,72,1091,140,400,190,31/1/2019,West,British Columbia,Kelowna,670,Major Market,Espresso,Caffe Mocha,Regular
99,341,170,72,1091,100,320,160,31/1/2019,Central,Ontario,Ottawa,971,Small Market,Espresso,Decaf Espresso,Decaf
100,341,170,71,1091,110,330,160,31/1/2019,Atlantic,Newfoundland,St. John's,2001,Major Market,Espresso,Regular Espresso,Regular
101,234,95,38,821,110,240,100,31/1/2019,Prairie,Alberta,Calgary,303,Major Market,Coffee,Decaf Irish Cream,Decaf
101,234,95,38,821,120,250,100,31/1/2019,Atlantic,PEI,Charlottetown,347,Major Market,Tea,Darjeeling,Regular
101,234,95,38,821,100,200,80,31/1/2019,Central,Quebec,Montreal,773,Major Market,Herbal Tea,Mint,Decaf
102,234,95,37,821,100,200,80,31/1/2019,West,British Columbia,Bunaby,685,Major Market,Herbal Tea,Chamomile,Decaf
111,345,144,90,862,120,300,120,31/1/2019,Central,Ontario,Toronto ,775,Small Market,Herbal Tea,Lemon,Decaf
111,483,245,127,1419,100,370,180,31/1/2019,Atlantic,PEI,Charlottetown,607,Major Market,Herbal Tea,Lemon,Decaf
111,345,144,90,862,130,360,150,31/1/2019,Central,Quebec,Montreal,217,Major Market,Coffee,Colombian,Regular
115,310,124,71,961,130,290,110,31/1/2019,Prairie,Manitoba,Winnipeg,1001,Small Market,Coffee,Colombian,Regular
115,310,124,71,961,120,270,100,31/1/2019,Atlantic,Nova Scotia,Truro,6520,Small Market,Herbal Tea,Chamomile,Decaf
140,456,228,88,1459,150,430,210,31/1/2019,West,British Columbia,Bunaby,685,Major Market,Espresso,Caffe Latte,Regular
140,456,228,88,1459,180,530,260,31/1/2019,Central,Quebec,Montreal,630,Major Market,Espresso,Decaf Espresso,Decaf
141,456,228,87,1459,140,400,190,31/1/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Tea,Darjeeling,Regular
141,456,228,87,1459,100,310,150,31/1/2019,Central,Ontario,Toronto ,775,Small Market,Tea,Earl Grey,Regular
159,452,207,86,965,220,560,260,31/1/2019,Prairie,Alberta,Edmonton,404,Major Market,Coffee,Colombian,Regular
160,452,207,85,965,160,390,170,31/1/2019,West,British Columbia,Bunaby,685,Major Market,Herbal Tea,Lemon,Decaf
175,546,245,126,1419,160,480,210,31/1/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Tea,Earl Grey,Regular
175,490,228,87,1459,200,480,210,31/1/2019,Atlantic,PEI,Charlottetown,631,Major Market,Espresso,Regular Espresso,Regular
202,546,234,110,1310,200,480,200,31/1/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Herbal Tea,Chamomile,Decaf
203,546,234,109,1310,200,520,220,31/1/2019,West,British Columbia,Bunaby,685,Major Market,Espresso,Decaf Espresso,Decaf
203,546,234,109,1310,150,370,150,31/1/2019,Central,Ontario,Toronto ,775,Small Market,Tea,Darjeeling,Regular
203,546,234,109,1310,260,640,270,31/1/2019,Central,Quebec,Montreal,309,Major Market,Espresso,Caffe Mocha,Regular
262,678,271,145,2101,370,840,340,31/1/2019,West,British Columbia,Bunaby,685,Major Market,Coffee,Colombian,Regular
262,678,271,145,2101,260,640,260,31/1/2019,Atlantic,PEI,Charlottetown,716,Major Market,Coffee,Colombian,Regular
367,494,72,55,558,360,460,60,31/1/2019,Atlantic,Newfoundland,St. John's,2001,Major Market,Coffee,Colombian,Regular
-342,23,240,125,1937,-220,0,150,28/2/2019,Central,Ontario,London,702,Small Market,Tea,Green Tea,Regular
-203,61,121,143,901,-190,50,110,28/2/2019,Atlantic,PEI,Summerside,585,Major Market,Espresso,Caffe Mocha,Regular
-120,180,213,87,1214,-80,140,160,28/2/2019,Atlantic,PEI,Summerside,607,Major Market,Herbal Tea,Mint,Decaf
-117,122,148,91,1071,-110,150,180,28/2/2019,West,British Columbia,Bunaby,685,Major Market,Coffee,Decaf Irish Cream,Decaf
-32,102,84,50,625,-20,80,70,28/2/2019,North,Nunavut,Kugluktuk,417,Small Market,Herbal Tea,Lemon,Decaf
-31,102,84,49,625,-20,120,100,28/2/2019,Atlantic,New Brunswick,Moncton,505,Small Market,Coffee,Decaf Irish Cream,Decaf
-31,102,84,49,625,-30,80,70,28/2/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Herbal Tea,Mint,Decaf
-27,132,104,55,685,-20,160,130,28/2/2019,West,British Columbia,Bunaby,685,Major Market,Coffee,Amaretto,Regular
-8,104,43,69,256,10,90,30,28/2/2019,North,Nunavut,Rankin Inlet,636,Small Market,Herbal Tea,Chamomile,Decaf
-7,104,43,68,256,0,80,30,28/2/2019,Atlantic,New Brunswick,Moncton,505,Small Market,Espresso,Caffe Mocha,Regular
-7,68,30,45,104,0,50,20,28/2/2019,Atlantic,New Brunswick,Moncton,505,Small Market,Espresso,Caffe Latte,Regular
-7,104,43,68,256,10,70,20,28/2/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Tea,Darjeeling,Regular
-7,104,43,68,256,10,100,40,28/2/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Espresso,Caffe Mocha,Regular
-7,68,30,45,165,-10,50,20,28/2/2019,North,Nunavut,Iqaluit,314,Small Market,Tea,Earl Grey,Regular
-6,68,30,44,165,10,40,10,28/2/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Tea,Green Tea,Regular
-6,68,30,44,165,0,60,20,28/2/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Espresso,Regular Espresso,Regular
-5,74,33,46,193,10,90,40,28/2/2019,Central,Ontario,London,775,Small Market,Coffee,Colombian,Regular
-4,128,54,78,451,10,120,50,28/2/2019,Atlantic,Newfoundland,St. John's,2001,Major Market,Espresso,Caffe Mocha,Regular
-4,74,33,45,193,0,50,20,28/2/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Herbal Tea,Lemon,Decaf
-4,74,33,45,193,0,60,20,28/2/2019,North,Nunavut,Pangnirtung,573,Small Market,Tea,Green Tea,Regular
-4,129,54,79,427,40,160,60,28/2/2019,Central,Ontario,Ottawa,971,Small Market,Coffee,Amaretto,Regular
-3,129,54,78,427,10,110,40,28/2/2019,Prairie,Alberta,Calgary,303,Major Market,Herbal Tea,Lemon,Decaf
-3,129,54,78,427,20,130,50,28/2/2019,West,British Columbia,Kelowna,670,Major Market,Coffee,Decaf Irish Cream,Decaf
2,155,65,88,342,10,130,50,28/2/2019,North,Yukon,Whitehorse,318,Small Market,Espresso,Caffe Latte,Regular
3,155,65,87,513,20,150,60,28/2/2019,Prairie,Manitoba,Winnipeg,1001,Small Market,Espresso,Caffe Mocha,Regular
3,155,65,87,513,10,130,50,28/2/2019,Atlantic,Newfoundland,Paradise,2500,Small Market,Tea,Earl Grey,Regular
3,155,65,87,513,10,100,40,28/2/2019,Atlantic,Nova Scotia,Truro,6520,Small Market,Tea,Green Tea,Regular
5,63,28,30,961,20,60,20,28/2/2019,Atlantic,New Brunswick,Moncton,505,Small Market,Herbal Tea,Lemon,Decaf
6,63,28,29,961,20,60,20,28/2/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Coffee,Colombian,Regular
6,63,28,29,961,20,70,30,28/2/2019,Central,Ontario,Toronto ,702,Small Market,Coffee,Decaf Irish Cream,Decaf
8,82,35,39,191,10,70,30,28/2/2019,Atlantic,New Brunswick,Moncton,505,Small Market,Espresso,Decaf Espresso,Decaf
9,82,35,38,191,10,50,20,28/2/2019,Atlantic,New Brunswick,Saint John ,591,Small Market,Tea,Earl Grey,Regular
9,82,35,38,191,10,70,30,28/2/2019,North,Nunavut,Kugluktuk,816,Small Market,Tea,Darjeeling,Regular
10,45,18,17,818,20,40,10,28/2/2019,Atlantic,New Brunswick,Moncton,505,Small Market,Herbal Tea,Chamomile,Decaf
10,45,18,17,818,20,40,10,28/2/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Coffee,Amaretto,Regular
10,45,18,17,818,20,40,10,28/2/2019,Central,Ontario,Toronto ,775,Small Market,Espresso,Caffe Mocha,Regular
11,45,18,16,818,20,40,10,28/2/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Tea,Darjeeling,Regular
